Date,Price,Open,High,Low,Vol.,Change %
"May 27, 2013",83.758,83.695,83.76,83.565,4.03K,0.00%
"May 24, 2013",83.758,83.92,84.02,83.5,39.61K,-0.05%
"May 23, 2013",83.803,84.435,84.595,83.665,61.59K,-0.78%
"May 22, 2013",84.459,83.865,84.51,83.52,70.88K,0.60%
"May 21, 2013",83.955,83.885,84.3,83.735,42.61K,0.13%
"May 20, 2013",83.842,84.24,84.4,83.8,34.69K,-0.65%
"May 17, 2013",84.387,83.88,84.515,83.865,47.33K,0.79%
"May 16, 2013",83.722,83.89,84.125,83.57,40.06K,-0.28%
"May 15, 2013",83.961,83.72,84.22,83.68,41.08K,0.30%
"May 14, 2013",83.713,83.245,83.835,83.045,44.35K,0.42%
"May 13, 2013",83.365,83.265,83.455,83.15,21.77K,0.16%
"May 10, 2013",83.231,82.815,83.52,82.765,45.85K,0.43%
"May 09, 2013",82.875,81.965,82.915,81.835,34.97K,1.13%
"May 08, 2013",81.951,82.365,82.4,81.78,25.10K,-0.47%
"May 07, 2013",82.335,82.38,82.425,82.12,18.35K,-0.05%
"May 06, 2013",82.378,82.14,82.475,82.04,20.04K,0.22%
"May 03, 2013",82.195,82.29,82.61,81.835,41.77K,-0.11%
"May 02, 2013",82.282,81.64,82.415,81.54,43.07K,0.93%
"May 01, 2013",81.522,81.74,81.78,81.37,24.79K,-0.35%
"Apr 30, 2013",81.807,82.225,82.355,81.64,34.63K,-0.48%
"Apr 29, 2013",82.202,82.445,82.52,82.1,22.78K,-0.45%
"Apr 26, 2013",82.571,82.895,82.905,82.46,25.97K,-0.32%
"Apr 25, 2013",82.84,83.03,83.055,82.485,30.93K,-0.22%
"Apr 24, 2013",83.026,83.21,83.325,82.965,24.95K,-0.19%
"Apr 23, 2013",83.186,82.765,83.2,82.65,28.99K,0.44%
"Apr 22, 2013",82.824,82.835,83.045,82.735,29.89K,-0.03%
"Apr 19, 2013",82.846,82.67,82.895,82.4,30.43K,0.20%
"Apr 18, 2013",82.681,82.735,82.755,82.46,24.10K,-0.13%
"Apr 17, 2013",82.791,81.895,82.815,81.89,51.70K,1.18%
"Apr 16, 2013",81.823,82.395,82.62,81.78,42.10K,-0.83%
"Apr 15, 2013",82.507,82.19,82.545,82.19,30.02K,0.12%
"Apr 12, 2013",82.406,82.295,82.585,82.14,25.29K,0.10%
"Apr 11, 2013",82.325,82.65,82.68,82.14,27.95K,-0.37%
"Apr 10, 2013",82.634,82.485,82.675,82.32,24.75K,0.27%
"Apr 09, 2013",82.414,82.78,82.82,82.375,21.87K,-0.55%
"Apr 08, 2013",82.869,82.75,82.955,82.605,19.37K,0.32%
"Apr 05, 2013",82.603,82.88,83.01,82.31,30.71K,-0.23%
"Apr 04, 2013",82.795,82.84,83.66,82.74,43.46K,-0.08%
"Apr 03, 2013",82.861,83.075,83.245,82.77,20.05K,-0.28%
"Apr 02, 2013",83.092,82.87,83.13,82.645,16.80K,0.23%
"Apr 01, 2013",82.899,83.175,83.365,82.81,12.02K,-0.33%
"Mar 28, 2013",83.175,83.42,83.46,83.02,20.73K,-0.28%
"Mar 27, 2013",83.411,83.04,83.52,83.01,28.79K,0.44%
"Mar 26, 2013",83.048,83.02,83.165,82.88,19.34K,0.06%
"Mar 25, 2013",82.995,82.61,83.11,81.83,30.09K,0.56%
"Mar 22, 2013",82.529,82.96,82.985,82.435,27.12K,-0.45%
"Mar 21, 2013",82.905,83,83.185,82.835,22.59K,-0.05%
"Mar 20, 2013",82.948,83.24,83.245,82.725,30.49K,-0.32%
"Mar 19, 2013",83.211,82.935,83.315,82.83,32.72K,0.77%
"Mar 18, 2013",82.574,82.68,82.83,82.545,0.68K,0.39%
"Mar 15, 2013",82.256,82.53,82.605,82.06,15.35K,-0.44%
"Mar 14, 2013",82.623,82.915,83.18,82.44,36.80K,-0.34%
"Mar 13, 2013",82.902,82.575,83.07,82.35,50.33K,0.37%
"Mar 12, 2013",82.595,82.675,82.815,82.425,30.03K,0.02%
"Mar 11, 2013",82.58,82.76,82.885,82.53,31.26K,-0.18%
"Mar 08, 2013",82.731,82.165,82.945,82.105,39.05K,0.74%
"Mar 07, 2013",82.123,82.615,82.62,81.995,35.17K,-0.47%
"Mar 06, 2013",82.507,82.02,82.64,81.975,26.04K,0.44%
"Mar 05, 2013",82.147,82.21,82.3,81.955,25.02K,-0.13%
"Mar 04, 2013",82.255,82.355,82.53,82.23,19.76K,-0.13%
"Mar 01, 2013",82.358,82.01,82.58,81.85,34.83K,0.43%
"Feb 28, 2013",82.003,81.605,82.075,81.535,27.99K,0.41%
"Feb 27, 2013",81.672,81.94,81.985,81.555,38.85K,-0.33%
"Feb 26, 2013",81.94,81.93,82.035,81.63,46.51K,0.20%
"Feb 25, 2013",81.777,81.705,82.005,81.165,50.84K,0.24%
"Feb 22, 2013",81.585,81.485,81.7,81.26,33.31K,0.04%
"Feb 21, 2013",81.551,81.175,81.625,81.125,39.69K,0.49%
"Feb 20, 2013",81.155,80.46,81.23,80.35,40.94K,0.76%
"Feb 19, 2013",80.545,80.745,80.765,80.505,15.64K,-0.04%
"Feb 18, 2013",80.576,80.7,80.83,80.605,9.34K,0.00%
"Feb 15, 2013",80.576,80.48,80.675,80.305,19.40K,0.05%
"Feb 14, 2013",80.538,80.18,80.71,80.145,34.17K,0.46%
"Feb 13, 2013",80.167,80.1,80.255,79.915,28.47K,0.00%
"Feb 12, 2013",80.163,80.415,80.59,79.99,27.87K,-0.28%
