date,median-confirmation-time
24/06/2020,11.225
25/06/2020,10.75833333
26/06/2020,7.325
27/06/2020,9.441666667
28/06/2020,6.316666667
29/06/2020,8.433333333
30/06/2020,9.866666667
01/07/2020,10.14166667
02/07/2020,9.445833333
03/07/2020,9.85
04/07/2020,6.633333333
05/07/2020,5.033333333
06/07/2020,8.133333333
07/07/2020,8.825
08/07/2020,9.858333333
09/07/2020,8.775
10/07/2020,8
11/07/2020,8.625
12/07/2020,7.133333333
13/07/2020,8.266666667
14/07/2020,11.975
15/07/2020,9.858333333
16/07/2020,12.06666667
17/07/2020,11.86666667
18/07/2020,19.9
19/07/2020,10.21666667
20/07/2020,8.683333333
21/07/2020,11.2
22/07/2020,11.81666667
23/07/2020,10.03333333
24/07/2020,9.666666667
25/07/2020,9.241666667
26/07/2020,8.9125
27/07/2020,8.15
28/07/2020,11.31666667
29/07/2020,10.975
30/07/2020,14.70833333
31/07/2020,12.73333333
01/08/2020,15.48333333
02/08/2020,9.5
03/08/2020,7.433333333
04/08/2020,9.491666667
05/08/2020,9.9
06/08/2020,12.03333333
07/08/2020,10.66666667
08/08/2020,9.591666667
09/08/2020,7.125
10/08/2020,12.20833333
11/08/2020,11.725
12/08/2020,10.16666667
13/08/2020,10.48333333
14/08/2020,10.9
15/08/2020,10.62083333
16/08/2020,9.45
17/08/2020,13.13333333
18/08/2020,20
19/08/2020,16.3
20/08/2020,12.275
21/08/2020,11.725
22/08/2020,12.10833333
23/08/2020,9.733333333
24/08/2020,11.53333333
25/08/2020,13.67916667
26/08/2020,13.68333333
27/08/2020,19.79166667
28/08/2020,12.09166667
29/08/2020,11.24166667
30/08/2020,13.71666667
31/08/2020,10.20416667
01/09/2020,13.88333333
02/09/2020,14.75833333
03/09/2020,13.98333333
04/09/2020,14.975
05/09/2020,17.36666667
06/09/2020,11.225
07/09/2020,11.2
08/09/2020,12.78333333
09/09/2020,12.65
10/09/2020,14.70833333
11/09/2020,13.5625
12/09/2020,10.6
13/09/2020,9.866666667
14/09/2020,12.25
15/09/2020,13.275
16/09/2020,13.61666667
17/09/2020,11.6375
18/09/2020,12.41666667
19/09/2020,15.23333333
20/09/2020,12.53333333
21/09/2020,13.36666667
22/09/2020,17.26666667
23/09/2020,21.475
24/09/2020,15.64166667
25/09/2020,14.48333333
26/09/2020,13.29583333
27/09/2020,12.55833333
28/09/2020,15.15
29/09/2020,18.1
30/09/2020,18.38333333
01/10/2020,20.14166667
02/10/2020,18.75833333
03/10/2020,18.15
04/10/2020,14.7625
05/10/2020,15.375
06/10/2020,19.225
07/10/2020,16.48333333
08/10/2020,16.14166667
09/10/2020,20.1125
10/10/2020,16.89166667
11/10/2020,14.73333333
12/10/2020,16.2
13/10/2020,16.025
14/10/2020,16.05833333
15/10/2020,17.21666667
16/10/2020,16.93333333
17/10/2020,14.8
18/10/2020,18.88333333
19/10/2020,20.425
