date,tweets_volume
2017-05-07,44482
2017-05-08,53081
2017-05-09,77319
2017-05-10,69188
2017-05-11,66196
2017-05-12,81518
2017-05-13,63664
2017-05-14,64020
2017-05-15,67634
2017-05-16,72785
2017-05-17,67710
2017-05-18,67002
2017-05-19,70037
2017-05-20,64636
2017-05-21,65550
2017-05-22,98595
2017-05-23,99735
2017-05-24,93707
2017-05-25,108844
2017-05-26,102184
2017-05-27,70202
2017-05-28,61038
2017-05-29,72690
2017-05-30,72577
2017-05-31,77536
2017-06-01,72386
2017-06-02,69170
2017-06-03,56918
2017-06-04,60989
2017-06-05,71860
2017-06-06,96769
2017-06-07,80625
2017-06-08,69778
2017-06-09,71608
2017-06-10,62982
2017-06-11,66430
2017-06-12,83603
2017-06-13,79679
2017-06-14,76811
2017-06-15,87907
2017-06-16,78832
2017-06-17,65293
2017-06-18,60980
2017-06-19,71537
2017-06-20,75554
2017-06-21,74898
2017-06-22,70868
2017-06-23,77355
2017-06-24,60457
2017-06-25,60903
2017-06-26,77793
2017-06-27,83728
2017-06-28,82697
2017-06-29,88049
2017-06-30,83246
2017-07-01,70272
2017-07-02,61290
2017-07-03,84921
2017-07-04,73874
2017-07-05,80088
2017-07-06,77234
2017-07-07,75990
2017-07-08,66282
2017-07-09,64846
2017-07-10,79186
2017-07-11,79124
2017-07-12,85244
2017-07-13,80929
2017-07-14,78517
2017-07-15,71292
2017-07-16,69001
2017-07-17,87831
2017-07-18,58000
2017-07-19,59226
2017-07-20,62350
2017-07-21,60423
2017-07-22,48669
2017-07-23,50154
2017-07-24,59021
2017-07-25,67101
2017-07-26,66594
2017-07-27,70135
2017-07-28,62890
2017-07-29,52524
2017-07-30,51722
2017-07-31,67559
2017-08-01,96090
2017-08-02,82917
2017-08-03,74529
2017-08-04,67052
2017-08-05,73777
2017-08-06,52654
2017-08-07,74464
2017-08-08,83937
2017-08-09,70212
2017-08-10,64431
2017-08-11,68756
2017-08-12,60035
2017-08-13,73481
2017-08-14,89214
2017-08-15,90272
2017-08-16,79990
2017-08-17,128382
2017-08-18,137312
2017-08-19,102848
2017-08-20,99808
2017-08-21,97262
2017-08-22,112289
2017-08-23,105047
2017-08-24,118021
2017-08-25,103594
2017-08-26,93107
2017-08-27,83506
2017-08-28,98752
2017-08-29,117883
2017-08-30,108133
2017-08-31,124586
2017-09-01,125437
2017-09-02,101371
2017-09-03,103688
2017-09-04,140996
2017-09-05,127666
2017-09-06,119644
2017-09-07,109374
2017-09-08,125076
2017-09-09,109143
2017-09-10,101995
2017-09-11,122231
2017-09-12,145706
2017-09-13,169483
2017-09-14,177166
2017-09-15,175605
2017-09-16,131369
2017-09-17,114460
2017-09-18,104643
2017-09-19,103094
2017-09-20,91006
2017-09-21,87181
2017-09-22,87198
2017-09-23,75545
2017-09-24,68845
