date,open,high,low,close,volume_btc,volume_currency,weighted_price
2020-04-12,6882.75,7201.76,6790.74,6908.24,7264.51928043,51063776.0816619,7029.20236156895
2020-04-13,6908.21,6914.01,6542.91,6864.22,10837.57453223,73070898.9430715,6742.36645162301
2020-04-14,6864.66,6991,6766.96,6879.75,7275.68657382,50059446.7159028,6880.37427231007
2020-04-15,6868.88,6940,6598.55,6619,8109.73234254,54918729.9665482,6771.95345627738
2020-04-16,6619,7224.18,6472.67,7111.67,15726.69637377,109502622.672264,6962.84967101544
2020-04-17,7121.35,7158.22,6995.39,7024.19,8539.61835086,60386632.1456799,7071.35022487259
2020-04-18,7020.13,7306.15,7020.13,7262.26,5102.50261952,36602893.6111676,7173.51784811251
2020-04-19,7265.94,7276.21,7057.46,7126.4,4662.19209244,33388014.3516139,7161.44116106979
2020-04-20,7124.27,7220,6757.75,6841,11365.00931766,79382776.0109879,6984.84038087285
2020-04-21,6833,6950.98,6774.48,6854.98,5570.95619043,38214451.9384896,6859.5857932137
2020-04-22,6850.6,7171.26,6819.59,7137.79,6273.40631495,44249617.7363321,7053.52331968071
2020-04-23,7138.29,7756.69,7031.07,7484.58,14779.54814354,109374199.446223,7400.37505774692
2020-04-24,7494.2,7612.91,7391.57,7505.53,7357.10670681,55377242.1271062,7527.04076941647
2020-04-25,7518.81,7723.77,7432.8,7547.56,3800.82773036,28741430.1002769,7561.88707809565
2020-04-26,7565,7718,7485,7701.73,5247.54081807,39949338.7647602,7612.96389104661
2020-04-27,7708.87,7813.68,7637.03,7786.41,6878.02253788,53067907.4109332,7715.57626027935
2020-04-28,7794.22,7798.42,7650,7767.79,7248.9559695,55957597.4268651,7719.4009264654
2020-04-29,7762.07,8970,7717.14,8790.32,26396.09715679,219862359.846423,8329.35106051718
2020-04-30,8789.79,9485.26,8407,8627.32,24057.73933525,214743005.894981,8926.15066205884
2020-05-01,8629.72,9075,8616.17,8832.44,11379.68574201,100246596.311991,8809.25876027615
2020-05-02,8836,9022,8760,8983.79,5524.26706572,49175891.3174658,8901.79470551294
2020-05-03,8982.56,9207.82,8723.78,8915.98,9218.274909,82923756.8765855,8995.58298002432
2020-05-04,8924.14,8974.34,8528.42,8882.87,10018.97499887,87869078.4114247,8770.26626190155
2020-05-05,8889.24,9120,8760.1,9034.85,9592.13446226,85676075.4559865,8931.90934646265
2020-05-06,9040,9417.95,8921.03,9154.32,15110.94181329,139147123.698661,9208.36870513802
2020-05-07,9163.63,10074,9030.03,10000,25012.90031203,241313478.930414,9647.5608953814
2020-05-08,10008.19,10048.38,9725,9801.35,19203.48379461,190431352.842082,9916.50030165523
2020-05-09,9809.04,9914,9515.4,9546.56,11278.63371513,109506263.430761,9709.17809697655
2020-05-10,9527.31,9565.2,8109,8731.17,31639.42874341,274667237.432425,8681.16929859658
2020-05-11,8740.88,9182.97,8181,8571.98,34465.18657226,299207513.011188,8681.44184810568
2020-05-12,8574.19,8984.87,8534.97,8825.46,14010.2612055,123118461.280036,8787.73489474296
2020-05-13,8816.99,9418.46,8804.47,9315.5,12762.85161682,116070755.771608,9094.42178412857
2020-05-14,9323.73,9945.34,9254.85,9793.5,19936.18545561,192594447.169582,9660.54652723874
2020-05-15,9809.91,9844.66,9112,9306.21,17324.14460144,164450498.654884,9492.56095687487
2020-05-16,9307.43,9590,9216.08,9389.07,6170.09609719,58076014.3059679,9412.49753507356
2020-05-17,9377.79,9894.88,9326.53,9665.7,9515.79358021,92332110.8124874,9703.03843123606
2020-05-18,9672.95,9966.12,9451.2,9721.91,12362.32763823,120325308.218588,9733.22433604544
2020-05-19,9730,9903.89,9455.05,9787.65,12149.68534917,117603182.459666,9679.52494898976
